date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,6.94,4776.02846612461,1.9400000000000004,1.9400000000000004,0
2024-01-02,6.41,4762.662944238571,1.4100000000000001,3.3500000000000005,0
2024-01-03,5.5,4749.2974223525325,0.5,3.8500000000000005,0
2024-01-04,6.19,4735.931900466494,1.1900000000000004,5.040000000000001,0
2024-01-05,5.71,4722.566378580455,0.71,5.750000000000001,0
2024-01-06,7.24,4709.200856694416,2.24,7.990000000000001,0
2024-01-07,7.49,4695.835334808377,2.49,10.48,0
2024-01-08,4.94,4682.469812922339,0.0,10.48,0
2024-01-09,0.84,4669.1042910363,0.0,10.48,0
2024-01-10,-0.65,4655.738769150262,0.0,10.48,0
2024-01-11,-0.8,4642.373247264223,0.0,10.48,0
2024-01-12,-2.3,4629.007725378185,0.0,10.48,0
2024-01-13,-3.27,4615.642203492145,0.0,10.48,0
2024-01-14,-1.35,4602.276681606107,0.0,10.48,0
2024-01-15,1.44,4588.911159720068,0.0,10.48,0
2024-01-16,3.05,4575.54563783403,0.0,10.48,0
2024-01-17,3.01,4562.180115947991,0.0,10.48,0
2024-01-18,6.18,4589.883997524228,1.1799999999999997,11.66,0
2024-01-19,8.41,4617.587879100465,3.41,15.07,0
2024-01-20,1.91,4645.291760676703,0.0,15.07,0
2024-01-21,-1.92,4672.99564225294,0.0,15.07,0
2024-01-22,-3.22,4700.699523829177,0.0,15.07,0
2024-01-23,-1.51,4728.403405405415,0.0,15.07,0
2024-01-24,-0.46,4756.107286981652,0.0,15.07,0
2024-01-25,1.25,4783.81116855789,0.0,15.07,0
2024-01-26,0.22,4811.515050134127,0.0,15.07,0
2024-01-27,-0.14,4839.218931710364,0.0,15.07,0
2024-01-28,-0.66,4866.922813286601,0.0,15.07,0
2024-01-29,-1.12,4894.626694862838,0.0,15.07,0
2024-01-30,-2.93,4922.330576439075,0.0,15.07,0
2024-01-31,-1.52,4950.034458015313,0.0,15.07,0
2024-02-01,0.98,4977.73833959155,0.0,15.07,0
2024-02-02,0.85,5005.4422211677875,0.0,15.07,1
2024-02-03,0.61,4998.92515669852,0.0,15.07,0
2024-02-04,3.74,4992.408092229252,0.0,15.07,0
2024-02-05,6.07,4985.891027759985,1.0700000000000003,16.14,0
2024-02-06,8.76,4979.373963290718,3.76,19.9,0
2024-02-07,8.03,4972.856898821451,3.0299999999999994,22.93,0
2024-02-08,9.57,4966.339834352184,4.57,27.5,0
2024-02-09,7.94,4959.822769882916,2.9400000000000004,30.44,0
2024-02-10,7.55,4953.305705413649,2.55,32.99,0
2024-02-11,8.16,4946.788640944382,3.16,36.150000000000006,0
2024-02-12,7.66,4940.271576475114,2.66,38.81,0
2024-02-13,5.22,4933.754512005847,0.21999999999999975,39.03,0
2024-02-14,3.55,4927.23744753658,0.0,39.03,0
