date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2020-01-01,4.62,4441.8279607186305,0.0,0.0,0
2020-01-02,5.81,4434.911470984178,0.8099999999999996,0.8099999999999996,0
2020-01-03,6.38,4427.994981249724,1.38,2.1899999999999995,0
2020-01-04,6.21,4421.078491515272,1.21,3.3999999999999995,0
2020-01-05,4.45,4414.162001780818,0.0,3.3999999999999995,0
2020-01-06,5.49,4407.245512046366,0.4900000000000002,3.8899999999999997,0
2020-01-07,6.25,4400.329022311913,1.25,5.14,0
2020-01-08,9.1,4393.412532577459,4.1,9.239999999999998,0
2020-01-09,8.51,4386.496042843007,3.51,12.749999999999998,0
2020-01-10,6.37,4379.579553108554,1.37,14.119999999999997,0
2020-01-11,6.26,4372.663063374101,1.2599999999999998,15.379999999999997,0
2020-01-12,6.62,4365.746573639648,1.62,16.999999999999996,0
2020-01-13,7.52,4358.830083905195,2.5199999999999996,19.519999999999996,0
2020-01-14,7.74,4351.913594170742,2.74,22.259999999999998,0
2020-01-15,7.22,4344.997104436289,2.2199999999999998,24.479999999999997,0
2020-01-16,6.1,4338.080614701836,1.0999999999999996,25.58,0
2020-01-17,5.84,4331.164124967383,0.8399999999999999,26.419999999999998,0
2020-01-18,3.64,4323.75929931076,0.0,26.419999999999998,0
2020-01-19,5.59,4316.354473654137,0.5899999999999999,27.009999999999998,0
2020-01-20,7.66,4308.949647997514,2.66,29.669999999999998,0
2020-01-21,5.42,4301.544822340891,0.41999999999999993,30.089999999999996,0
2020-01-22,5.5,4294.139996684268,0.5,30.589999999999996,0
2020-01-23,6.5,4286.735171027645,1.5,32.089999999999996,0
2020-01-24,8.95,4279.330345371022,3.9499999999999993,36.03999999999999,0
2020-01-25,6.47,4271.925519714399,1.4699999999999998,37.50999999999999,0
2020-01-26,4.95,4264.520694057776,0.0,37.50999999999999,0
2020-01-27,5.77,4257.115868401153,0.7699999999999996,38.27999999999999,0
2020-01-28,9.29,4249.7110427445305,4.289999999999999,42.569999999999986,0
2020-01-29,12.07,4242.3062170879075,7.07,49.639999999999986,0
2020-01-30,10.0,4234.9013914312845,5.0,54.639999999999986,0
2020-01-31,6.28,4227.496565774662,1.2800000000000002,55.91999999999999,0
2020-02-01,5.59,4220.091740118039,0.5899999999999999,56.50999999999999,0
2020-02-02,6.5,4212.686914461416,1.5,58.00999999999999,0
2020-02-03,8.68,4209.309888420229,3.6799999999999997,61.68999999999999,0
2020-02-04,6.8,4205.9328623790425,1.7999999999999998,63.48999999999999,0
2020-02-05,6.14,4202.555836337856,1.1399999999999997,64.62999999999998,0
2020-02-06,1.01,4199.178810296669,0.0,64.62999999999998,0
2020-02-07,2.34,4195.801784255483,0.0,64.62999999999998,0
2020-02-08,5.07,4192.424758214296,0.07000000000000028,64.69999999999999,0
2020-02-09,2.02,4189.04773217311,0.0,64.69999999999999,0
2020-02-10,3.63,4185.670706131923,0.0,64.69999999999999,0
2020-02-11,5.04,4182.2936800907355,0.040000000000000036,64.74,0
2020-02-12,8.17,4178.916654049549,3.17,67.91,0
2020-02-13,13.91,4175.539628008362,8.91,76.82,0
2020-02-14,11.14,4172.162601967176,6.140000000000001,82.96,0
2020-02-15,10.4,4168.785575925989,5.4,88.36,0
2020-02-16,11.49,4165.408549884803,6.49,94.85,0
2020-02-17,11.37,4162.031523843616,6.369999999999999,101.22,0
2020-02-18,5.86,4158.654497802429,0.8600000000000003,102.08,0
2020-02-19,6.88,4169.519311334109,1.88,103.96,0
2020-02-20,7.75,4180.384124865788,2.75,106.71,0
2020-02-21,8.85,4191.248938397468,3.8499999999999996,110.55999999999999,0
2020-02-22,12.9,4202.113751929148,7.9,118.46,0
2020-02-23,8.01,4212.978565460827,3.01,121.47,0
2020-02-24,8.06,4223.843378992507,3.0600000000000005,124.53,0
2020-02-25,10.04,4234.7081925241855,5.039999999999999,129.57,0
2020-02-26,8.57,4245.573006055865,3.5700000000000003,133.14,0
2020-02-27,5.47,4256.437819587545,0.46999999999999975,133.60999999999999,0
2020-02-28,5.43,4267.302633119224,0.4299999999999997,134.04,0
2020-02-29,9.35,4278.167446650904,4.35,138.39,0
2020-03-01,10.69,4289.032260182583,5.6899999999999995,144.07999999999998,0
2020-03-02,8.35,4299.897073714263,3.3499999999999996,147.42999999999998,0
2020-03-03,9.47,4310.7618872459425,4.470000000000001,151.89999999999998,0
2020-03-04,10.2,4321.626700777621,5.199999999999999,157.09999999999997,0
2020-03-05,7.9,4332.491514309301,2.9000000000000004,159.99999999999997,1
2020-03-06,7.29,4320.300216881009,2.29,162.28999999999996,0
2020-03-07,7.35,4308.108919452717,2.3499999999999996,164.63999999999996,0
2020-03-08,8.37,4295.917622024424,3.369999999999999,168.00999999999996,0
2020-03-09,11.6,4283.726324596133,6.6,174.60999999999996,0
2020-03-10,15.44,4271.535027167841,10.44,185.04999999999995,0
2020-03-11,14.14,4259.3437297395485,9.14,194.18999999999994,0
2020-03-12,9.26,4247.152432311256,4.26,198.44999999999993,0
2020-03-13,10.96,4234.961134882964,5.960000000000001,204.40999999999994,0
2020-03-14,5.84,4222.769837454672,0.8399999999999999,205.24999999999994,0
2020-03-15,6.41,4210.578540026379,1.4100000000000001,206.65999999999994,0
2020-03-16,5.92,4198.387242598087,0.9199999999999999,207.57999999999993,0
2020-03-17,6.47,4186.195945169795,1.4699999999999998,209.04999999999993,0
2020-03-18,10.92,4174.0046477415035,5.92,214.9699999999999,0
2020-03-19,13.13,4161.813350313211,8.13,223.0999999999999,0
2020-03-20,12.99,4149.622052884919,7.99,231.08999999999992,0
2020-03-21,11.5,4137.430755456627,6.5,237.58999999999992,0
2020-03-22,14.22,4158.9715646088525,9.22,246.80999999999992,0
2020-03-23,9.62,4180.5123737610775,4.619999999999999,251.42999999999992,0
